Date/Time, Accel, Hammer
0.000000, 10.120377, 10.120377
0.002008, 10.120377, 10.120377
0.004015, 10.120377, 10.120377
0.006023, 10.120377, 10.120377
0.008031, 10.120377, 10.120377
0.010039, 10.120377, 10.120377
0.012046, 10.120377, 10.120377
0.014054, 10.120377, 10.120377
0.016062, 10.120377, 10.120377
0.018070, 10.120377, 10.120377
0.020077, 10.120377, 10.120377
0.022085, 10.120377, 10.120377
0.024093, 10.120377, 10.120377
0.026101, 10.120377, 10.120377
0.028108, 10.120377, 10.120377
0.030116, 10.120377, 10.120377
0.032124, 10.120377, 10.120377
0.034131, 10.120377, 10.120377
0.036139, 10.120377, 10.120377
0.038147, 10.120377, 10.120377
0.040155, 10.120377, 10.120377
0.042162, 10.120377, 10.120377
0.044170, 10.120377, 10.120377
0.046178, 10.120377, 10.120377
0.048186, 10.120377, 10.120377
0.050193, 10.120377, 10.120377
0.052201, 10.120377, 10.120377
0.054209, 10.120377, 10.120377
0.056217, 10.120377, 10.120377
0.058224, 10.120377, 10.120377
0.060232, 10.120377, 10.120377
0.062240, 10.120377, 10.120377
0.064247, 10.120377, 10.120377
0.066255, 10.120377, 10.120377
0.068263, 10.120377, 10.120377
0.070271, 10.120377, 10.120377
0.072278, 10.120377, 10.120377
0.074286, 10.120377, 10.120377
0.076294, 10.120377, 10.120377
0.078302, 10.120377, 10.120377
0.080309, 10.120377, 10.120377
0.082317, 10.120377, 10.120377
0.084325, 10.120377, 10.120377
0.086333, 10.120377, 10.120377
0.088340, 10.120377, 10.120377
0.090348, 10.120377, 10.120377
0.092356, 10.120377, 10.120377
0.094363, 10.120377, 10.120377
0.096371, 10.120377, 10.120377
0.098379, 10.120377, 10.120377
0.100387, 10.120377, 10.120377
0.102394, 10.120377, 10.120377
0.104402, 10.120377, 10.120377
0.106410, 10.120377, 10.120377
0.108418, 10.120377, 10.120377
0.110425, 10.120377, 10.120377
0.112433, 10.120377, 10.120377
0.114441, 10.120377, 10.120377
0.116449, 10.120377, 10.120377
